,countries,cases,todays,deaths,recovered,active
0,World,"170,158,894","+35,649","3,538,126","152,148,012","14,472,756"
1,USA,"34,022,657",,"608,961","27,767,040","5,646,656"
2,India,"27,729,247","+9,816","322,512","25,178,011","2,228,724"
3,Brazil,"16,392,657",,"459,171","14,811,266","1,122,220"
4,France,"5,646,897",,"109,290","5,303,607","234,000"
5,Turkey,"5,228,322",,"47,134","5,083,099","98,089"
6,Russia,"5,044,459",,"120,406","4,661,234","262,819"
7,UK,"4,477,705",,"127,768","4,284,613","65,324"
8,Italy,"4,209,707",,"125,919","3,837,518","246,270"
9,Argentina,"3,702,422",,"76,693","3,252,843","372,886"
10,Germany,"3,680,159",,"88,884","3,471,800","119,475"
11,Spain,"3,668,658",,"79,905","3,424,911","163,842"
12,Colombia,"3,342,567",,"87,207","3,121,888","133,472"
13,Iran,"2,886,111",,"79,568","2,410,252","396,291"
14,Poland,"2,870,595",,"73,557","2,634,711","162,327"
15,Mexico,"2,408,778","+3,056","223,068","1,923,744","261,966"
16,Ukraine,"2,199,769","+3,096","50,388","2,030,415","118,966"
17,Peru,"1,947,555",,"68,978","1,720,665","157,912"
18,Indonesia,"1,803,361",,"50,100","1,654,557","98,704"
19,Czechia,"1,660,935",+454,"30,101","1,617,498","13,336"
20,South Africa,"1,654,551",,"56,293","1,551,520","46,738"
21,Netherlands,"1,641,318",,"17,607","1,463,716","159,995"
22,Canada,"1,374,275",,"25,440","1,308,932","39,903"
23,Chile,"1,361,381",,"28,928","1,287,804","44,649"
24,Philippines,"1,209,154",,"20,566","1,134,818","53,770"
25,Iraq,"1,190,351",,"16,311","1,101,676","72,364"
26,Romania,"1,077,161",,"30,174","1,037,729","9,258"
27,Sweden,"1,068,473",,"14,413","953,133","100,927"
28,Belgium,"1,057,903","+2,360","24,910","951,215","81,778"
29,Pakistan,"916,239","+2,455","20,680","836,702","58,857"
30,Portugal,"847,604",,"17,023","808,047","22,534"
31,Israel,"839,433",,"6,407","832,634",392
32,Hungary,"803,567",,"29,682","689,166","84,719"
33,Bangladesh,"796,343",,"12,511","736,221","47,611"
34,Jordan,"734,659",,"9,436","713,633","11,590"
35,Japan,"733,887",,"12,714","659,732","61,441"
36,Serbia,"711,772",,"6,834","693,585","11,353"
37,Switzerland,"693,023",,"10,801","645,322","36,900"
38,Austria,"643,709",,"10,588","626,815","6,306"
39,UAE,"565,451",,"1,668","545,229","18,554"
40,Malaysia,"549,514",,"2,552","474,139","72,823"
41,Nepal,"549,111",,"7,047","428,670","113,394"
42,Lebanon,"539,888",,"7,711","516,530","15,647"
43,Morocco,"518,458",,"9,135","506,443","2,880"
44,Saudi Arabia,"447,178",,"7,320","429,663","10,195"
45,Ecuador,"423,165",,"20,408","366,425","36,332"
46,Bulgaria,"418,106",,"17,652","380,254","20,200"
47,Greece,"398,898",,"11,995","365,135","21,768"
48,Belarus,"391,637",,"2,821","382,167","6,649"
49,Slovakia,"389,440",,"12,333","374,829","2,278"
50,Kazakhstan,"383,595","+1,688","3,914","351,086","28,595"
51,Panama,"376,854",,"6,365","364,297","6,192"
52,Bolivia,"364,570","+2,990","14,377","289,809","60,384"
53,Croatia,"355,617",,"7,992","344,899","2,726"
54,Paraguay,"348,184",,"8,892","286,005","53,287"
55,Georgia,"342,880",+986,"4,739","325,016","13,125"
56,Tunisia,"341,952",,"12,513","299,771","29,668"
57,Azerbaijan,"333,559",,"4,896","323,198","5,465"
58,Costa Rica,"314,102",,"3,962","242,019","68,121"
59,Palestine,"307,569",,"3,489","300,125","3,955"
60,Kuwait,"305,583",,"1,760","290,377","13,446"
61,Dominican Republic,"289,288",,"3,623","238,615","47,050"
62,Uruguay,"282,198",,"4,118","242,661","35,419"
63,Denmark,"278,396",,"2,512","262,748","13,136"
64,Lithuania,"273,346",,"4,235","252,582","16,529"
65,Ethiopia,"270,944",,"4,139","235,850","30,955"
66,Ireland,"260,766",,"4,941","242,916","12,909"
67,Egypt,"259,540",,"14,950","190,254","54,336"
68,Moldova,"255,060",,"6,097","247,240","1,723"
69,Slovenia,"253,140",,"4,370","244,153","4,617"
70,Guatemala,"252,929",,"8,094","231,594","13,241"
71,Honduras,"236,451",+852,"6,284","84,223","145,944"
72,Bahrain,"232,425",,923,"203,429","28,073"
73,Venezuela,"230,147",,"2,595","212,199","15,353"
74,Armenia,"222,555",+42,"4,428","212,752","5,375"
75,Qatar,"216,885",,552,"212,379","3,954"
76,Oman,"213,784",,"2,303","197,080","14,401"
77,Bosnia and Herzegovina,"203,839",,"9,211","174,236","20,392"
78,Libya,"184,815",,"3,116","171,279","10,420"
79,Sri Lanka,"177,711",,"1,363","146,362","29,986"
80,Kenya,"170,041",,"3,124","116,018","50,899"
81,Nigeria,"166,254",,"2,071","156,546","7,637"
82,North Macedonia,"155,217",,"5,387","147,381","2,449"
83,Thailand,"149,779","+4,803",988,"102,311","46,480"
84,Myanmar,"143,486",,"3,216","132,279","7,991"
85,S. Korea,"139,431",+533,"1,951","129,739","7,741"
86,Cuba,"138,899",,933,"131,461","6,505"
87,Latvia,"132,612",,"2,359","124,147","6,106"
88,Albania,"132,285",,"2,448","129,097",740
89,Estonia,"129,297",,"1,247","122,542","5,508"
90,Algeria,"128,198",,"3,455","89,232","35,511"
91,Norway,"124,410",,783,"88,952","34,675"
92,Kyrgyzstan,"104,222",+356,"1,797","98,000","4,425"
93,Uzbekistan,"99,844",+264,688,"95,529","3,627"
94,Montenegro,"99,518",,"1,580","97,010",928
95,Zambia,"94,430",,"1,275","91,443","1,712"
96,Ghana,"93,775",,784,"91,853","1,138"
97,Finland,"92,244",,948,"46,000","45,296"
98,Cameroon,"77,982",,"1,270","72,926","3,786"
99,El Salvador,"73,246",+143,"2,241","68,408","2,597"
100,Cyprus,"72,307",,360,"68,409","3,538"
101,Mozambique,"70,697",,835,"69,232",630
102,Afghanistan,"70,111",,"2,899","57,119","10,093"
103,Luxembourg,"69,830",,814,"67,993","1,023"
104,Singapore,"61,970",,32,"61,407",531
105,Maldives,"61,844",,157,"36,862","24,825"
106,Mongolia,"56,621",+769,268,"49,320","7,033"
107,Namibia,"54,268",,807,"50,053","3,408"
108,Botswana,"53,771",,831,"50,494","2,446"
109,Jamaica,"48,288",,936,"24,703","22,649"
110,Ivory Coast,"47,195",,301,"46,591",303
111,Uganda,"45,231",,361,"43,401","1,469"
112,Senegal,"41,296",,"1,138","39,932",226
113,Madagascar,"41,184",,827,"40,028",329
114,Zimbabwe,"38,918",,"1,592","36,563",763
115,Sudan,"35,289",,"2,600","27,949","4,740"
116,Malawi,"34,323",,"1,154","32,598",571
117,Angola,"33,944",,749,"27,577","5,618"
118,DRC,"31,386",,782,"27,654","2,950"
119,Malta,"30,526",,419,"30,041",66
120,Cabo Verde,"30,122",,261,"28,163","1,698"
121,Australia,"30,083",+10,910,"29,066",107
122,Cambodia,"28,825",+588,203,"21,315","7,307"
123,Rwanda,"26,878",,352,"25,542",984
124,Réunion,"24,901",,189,"22,796","1,916"
125,Syria,"24,410",,"1,758","21,588","1,064"
126,Gabon,"24,365",,150,"21,791","2,424"
127,French Guiana,"23,763",,116,"9,995","13,652"
128,Guinea,"23,110",,161,"20,840","2,109"
129,Trinidad and Tobago,"22,620",,458,"12,970","9,192"
130,Mayotte,"20,176",,171,"2,964","17,041"
131,Mauritania,"19,407",,462,"18,403",542
132,French Polynesia,"18,860",+1,142,"18,707",11
133,Eswatini,"18,587",,672,"17,855",60
134,Guyana,"16,724",,380,"14,376","1,968"
135,Guadeloupe,"16,530",,221,"2,250","14,059"
136,Papua New Guinea,"15,772",+225,162,"14,857",753
137,Somalia,"14,647",,768,"6,717","7,162"
138,Suriname,"14,305",,282,"11,333","2,690"
139,Mali,"14,262",,516,"9,559","4,187"
140,Haiti,"14,128",,302,"12,511","1,315"
141,Andorra,"13,693",,127,"13,416",150
142,Togo,"13,432",,125,"12,644",663
143,Burkina Faso,"13,424",,166,"13,248",10
144,Tajikistan,"13,308",,90,"13,218",0
145,Belize,"12,791",,324,"12,378",89
146,Curaçao,"12,271",,122,"12,104",45
147,Martinique,"11,960",,95,98,"11,767"
148,Hong Kong,"11,837",,210,"11,565",62
149,Bahamas,"11,684",,229,"10,503",952
150,Congo,"11,658",,153,"8,208","3,297"
151,Djibouti,"11,523",,153,"11,354",16
152,Seychelles,"11,145",,40,"9,936","1,169"
153,Aruba,"10,969",,107,"10,790",72
154,Lesotho,"10,825",,326,"6,434","4,065"
155,South Sudan,"10,688",,115,"10,514",59
156,Equatorial Guinea,"8,476",,113,"8,146",217
157,Benin,"8,058",,101,"7,893",64
158,Nicaragua,"7,324",,186,"4,225","2,913"
